sample_id,frequency_hz,frequency_mhz,amplitude_dbm,liquid_type,source_file,range,is_outlier,amplitude_denoised_dbm,amplitude_smoothed_dbm,amplitude_normalized,band
150-250_CSV0,187866667.0,187.866667,-58.27,Air,CSV0.csv,150-250,False,-58.27,-58.25942464857721,0.3149916443681954,180-220MHz
150-250_CSV0,188000000.0,188.0,-58.04,Air,CSV0.csv,150-250,False,-58.04,-58.15005884275832,0.3294565680972897,180-220MHz
150-250_CSV0,188133333.0,188.133333,-58.01,Air,CSV0.csv,150-250,False,-58.01,-58.03501144164685,0.34467295012682236,180-220MHz
150-250_CSV0,188266667.0,188.266667,-57.92,Air,CSV0.csv,150-250,False,-57.92,-57.92304674730229,0.359481607658478,180-220MHz
150-250_CSV0,188400000.0,188.4,-57.78,Air,CSV0.csv,150-250,False,-57.78,-57.799934619155835,0.3757646453998535,180-220MHz
150-250_CSV0,188533333.0,188.533333,-57.69,Air,CSV0.csv,150-250,False,-57.69,-57.67388689114014,0.39243595100877443,180-220MHz
150-250_CSV0,188666667.0,188.666667,-57.6,Air,CSV0.csv,150-250,False,-57.6,-57.546979405033575,0.40922096981275546,180-220MHz
150-250_CSV0,188800000.0,188.8,-57.45,Air,CSV0.csv,150-250,False,-57.45,-57.4180353056547,0.4262753548544654,180-220MHz
150-250_CSV0,188933333.0,188.933333,-57.29,Air,CSV0.csv,150-250,False,-57.29,-57.29828048381749,0.4421143490546733,180-220MHz
150-250_CSV0,189066667.0,189.066667,-57.19,Air,CSV0.csv,150-250,False,-57.19,-57.16942464857721,0.4591570601181844,180-220MHz
150-250_CSV0,189200000.0,189.2,-57.0,Air,CSV0.csv,150-250,False,-57.0,-57.04773782281717,0.4752515847301048,180-220MHz
150-250_CSV0,189333333.0,189.333333,-56.89,Air,CSV0.csv,150-250,False,-56.89,-56.91969924811955,0.492186203402874,180-220MHz
150-250_CSV0,189466667.0,189.466667,-56.82,Air,CSV0.csv,150-250,False,-56.82,-56.786060804183634,0.5098614711370051,180-220MHz
150-250_CSV0,189600000.0,189.6,-56.62,Air,CSV0.csv,150-250,False,-56.62,-56.653576332133945,0.5273841124154101,180-220MHz
150-250_CSV0,189733333.0,189.733333,-56.52,Air,CSV0.csv,150-250,False,-56.52,-56.52190585158474,0.5447990936726365,180-220MHz
