,feature_name,range,frequency_mhz
1465,350__345.200000MHz,350,345.2
1466,350__345.333333MHz,350,345.333333
1467,350__345.466667MHz,350,345.466667
1468,350__345.600000MHz,350,345.6
1469,350__345.733333MHz,350,345.733333
1470,350__345.866667MHz,350,345.866667
1471,350__346.000000MHz,350,346.0
1472,350__346.133333MHz,350,346.133333
1473,350__346.266667MHz,350,346.266667
1474,350__346.400000MHz,350,346.4
1475,350__346.533333MHz,350,346.533333
1476,350__346.666667MHz,350,346.666667
1477,350__346.800000MHz,350,346.8
1478,350__346.933333MHz,350,346.933333
1479,350__347.066667MHz,350,347.066667
1480,350__347.200000MHz,350,347.2
1481,350__347.333333MHz,350,347.333333
1482,350__347.466667MHz,350,347.466667
1483,350__347.600000MHz,350,347.6
1484,350__347.733333MHz,350,347.733333
1485,350__347.866667MHz,350,347.866667
1486,350__348.000000MHz,350,348.0
1487,350__348.133333MHz,350,348.133333
1488,350__348.266667MHz,350,348.266667
1489,350__348.400000MHz,350,348.4
1490,350__348.533333MHz,350,348.533333
1491,350__348.666667MHz,350,348.666667
1492,350__348.800000MHz,350,348.8
1493,350__348.933333MHz,350,348.933333
1494,350__349.066667MHz,350,349.066667
1495,350__349.200000MHz,350,349.2
1496,350__349.333333MHz,350,349.333333
1497,350__349.466667MHz,350,349.466667
1498,350__349.600000MHz,350,349.6
1499,350__349.733333MHz,350,349.733333
1500,350__349.866667MHz,350,349.866667
1501,350__350.000000MHz,350,350.0
1502,50-150__50.000000MHz,50-150,50.0
1503,50-150__50.133333MHz,50-150,50.133333
1504,50-150__50.266667MHz,50-150,50.266667
1505,50-150__50.400000MHz,50-150,50.4
1506,50-150__50.533333MHz,50-150,50.533333
1507,50-150__50.666667MHz,50-150,50.666667
1508,50-150__50.800000MHz,50-150,50.8
1509,50-150__50.933333MHz,50-150,50.933333
1510,50-150__51.066667MHz,50-150,51.066667
1511,50-150__51.200000MHz,50-150,51.2
1512,50-150__51.333333MHz,50-150,51.333333
1513,50-150__51.466667MHz,50-150,51.466667
1514,50-150__51.600000MHz,50-150,51.6
1515,50-150__51.733333MHz,50-150,51.733333
1516,50-150__51.866667MHz,50-150,51.866667
1517,50-150__52.000000MHz,50-150,52.0
1518,50-150__52.133333MHz,50-150,52.133333
1519,50-150__52.266667MHz,50-150,52.266667
1520,50-150__52.400000MHz,50-150,52.4
1521,50-150__52.533333MHz,50-150,52.533333
1522,50-150__52.666667MHz,50-150,52.666667
1523,50-150__52.800000MHz,50-150,52.8
1524,50-150__52.933333MHz,50-150,52.933333
1525,50-150__53.066667MHz,50-150,53.066667
1526,50-150__53.200000MHz,50-150,53.2
1527,50-150__53.333333MHz,50-150,53.333333
1528,50-150__53.466667MHz,50-150,53.466667
1529,50-150__53.600000MHz,50-150,53.6
1530,50-150__53.733333MHz,50-150,53.733333
1531,50-150__53.866667MHz,50-150,53.866667
1532,50-150__54.000000MHz,50-150,54.0
1533,50-150__54.133333MHz,50-150,54.133333
1534,50-150__54.266667MHz,50-150,54.266667
1535,50-150__54.400000MHz,50-150,54.4
1536,50-150__54.533333MHz,50-150,54.533333
1537,50-150__54.666667MHz,50-150,54.666667
1538,50-150__54.800000MHz,50-150,54.8
1539,50-150__54.933333MHz,50-150,54.933333
1540,50-150__55.066667MHz,50-150,55.066667
1541,50-150__55.200000MHz,50-150,55.2
1542,50-150__55.333333MHz,50-150,55.333333
1543,50-150__55.466667MHz,50-150,55.466667
1544,50-150__55.600000MHz,50-150,55.6
1545,50-150__55.733333MHz,50-150,55.733333
1546,50-150__55.866667MHz,50-150,55.866667
1547,50-150__56.000000MHz,50-150,56.0
1548,50-150__56.133333MHz,50-150,56.133333
1549,50-150__56.266667MHz,50-150,56.266667
1550,50-150__56.400000MHz,50-150,56.4
1551,50-150__56.533333MHz,50-150,56.533333
1552,50-150__56.666667MHz,50-150,56.666667
1553,50-150__56.800000MHz,50-150,56.8
1554,50-150__56.933333MHz,50-150,56.933333
1555,50-150__57.066667MHz,50-150,57.066667
1556,50-150__57.200000MHz,50-150,57.2
1557,50-150__57.333333MHz,50-150,57.333333
1558,50-150__57.466667MHz,50-150,57.466667
1559,50-150__57.600000MHz,50-150,57.6
1560,50-150__57.733333MHz,50-150,57.733333
1561,50-150__57.866667MHz,50-150,57.866667
1562,50-150__58.000000MHz,50-150,58.0
1563,50-150__58.133333MHz,50-150,58.133333
1564,50-150__58.266667MHz,50-150,58.266667
1565,50-150__58.400000MHz,50-150,58.4
1566,50-150__58.533333MHz,50-150,58.533333
1567,50-150__58.666667MHz,50-150,58.666667
1568,50-150__58.800000MHz,50-150,58.8
1569,50-150__58.933333MHz,50-150,58.933333
1570,50-150__59.066667MHz,50-150,59.066667
1571,50-150__59.200000MHz,50-150,59.2
1572,50-150__59.333333MHz,50-150,59.333333
1573,50-150__59.466667MHz,50-150,59.466667
1574,50-150__59.600000MHz,50-150,59.6
1575,50-150__59.733333MHz,50-150,59.733333
1576,50-150__59.866667MHz,50-150,59.866667
1577,50-150__60.000000MHz,50-150,60.0
1578,50-150__60.133333MHz,50-150,60.133333
1579,50-150__60.266667MHz,50-150,60.266667
1580,50-150__60.400000MHz,50-150,60.4
1581,50-150__60.533333MHz,50-150,60.533333
1582,50-150__60.666667MHz,50-150,60.666667
1583,50-150__60.800000MHz,50-150,60.8
1584,50-150__60.933333MHz,50-150,60.933333
1585,50-150__61.066667MHz,50-150,61.066667
1586,50-150__61.200000MHz,50-150,61.2
1587,50-150__61.333333MHz,50-150,61.333333
1588,50-150__61.466667MHz,50-150,61.466667
1589,50-150__61.600000MHz,50-150,61.6
1590,50-150__61.733333MHz,50-150,61.733333
1591,50-150__61.866667MHz,50-150,61.866667
1592,50-150__62.000000MHz,50-150,62.0
1593,50-150__62.133333MHz,50-150,62.133333
1594,50-150__62.266667MHz,50-150,62.266667
1595,50-150__62.400000MHz,50-150,62.4
1596,50-150__62.533333MHz,50-150,62.533333
1597,50-150__62.666667MHz,50-150,62.666667
1598,50-150__62.800000MHz,50-150,62.8
1599,50-150__62.933333MHz,50-150,62.933333
1600,50-150__63.066667MHz,50-150,63.066667
1601,50-150__63.200000MHz,50-150,63.2
1602,50-150__63.333333MHz,50-150,63.333333
1603,50-150__63.466667MHz,50-150,63.466667
1604,50-150__63.600000MHz,50-150,63.6
1605,50-150__63.733333MHz,50-150,63.733333
1606,50-150__63.866667MHz,50-150,63.866667
1607,50-150__64.000000MHz,50-150,64.0
1608,50-150__64.133333MHz,50-150,64.133333
1609,50-150__64.266667MHz,50-150,64.266667
1610,50-150__64.400000MHz,50-150,64.4
1611,50-150__64.533333MHz,50-150,64.533333
1612,50-150__64.666667MHz,50-150,64.666667
1613,50-150__64.800000MHz,50-150,64.8
1614,50-150__64.933333MHz,50-150,64.933333
