Frequency(Hz),
271386667,-72
271773333,-72.56
272160000,-73.13
272546667,-73.79
272933333,-74.12
273320000,-75.13
273706667,-75.48
274093333,-76.12
274480000,-76.45
274866667,-76.75
275253333,-77.07
275640000,-77.61
276026667,-77.96
276413333,-77.74
276800000,-78.27
277186667,-78.31
277573333,-79.12
277960000,-78.66
278346667,-78.51
278733333,-78.75
279120000,-79
279506667,-78.47
279893333,-78.32
280280000,-78.54
280666667,-77.99
281053333,-78.3
281440000,-78.39
281826667,-78.31
282213333,-78.62
282600000,-78.07
282986667,-78.32
283373333,-78.77
283760000,-78.56
284146667,-78.38
284533333,-78.74
284920000,-78.88
285306667,-79.11
285693333,-78.7
286080000,-79.2
286466667,-79.78
286853333,-79.38
287240000,-79.25
287626667,-79.23
288013333,-79.27
288400000,-79.28
288786667,-79.4
289173333,-79.33
289560000,-79.45
289946667,-79.69
290333333,-79.6
290720000,-80.21
291106667,-79.79
291493333,-79.66
291880000,-79.14
292266667,-79.43
292653333,-78.85
293040000,-78.78
293426667,-78.65
293813333,-77.99
294200000,-77.4
294586667,-77.12
294973333,-76.48
295360000,-75.73
295746667,-75.34
296133333,-74.87
296520000,-74.07
296906667,-73.74
297293333,-72.88
297680000,-72.23
298066667,-71.36
298453333,-70.68
298840000,-70.19
299226667,-69.41
299613333,-68.84
300000000,-68.06
