Trace Data,
198306667,-55.95
198693333,-56.62
199080000,-57.15
199466667,-57.71
199853333,-58.19
200240000,-58.61
200626667,-58.88
201013333,-59.26
201400000,-59.6
201786667,-59.67
202173333,-59.89
202560000,-59.89
202946667,-59.83
203333333,-59.69
203720000,-59.59
204106667,-59.3
204493333,-59.06
204880000,-58.71
205266667,-58.36
205653333,-58
206040000,-57.54
206426667,-57.16
206813333,-56.72
207200000,-56.32
207586667,-55.97
207973333,-55.59
208360000,-55.28
208746667,-54.97
209133333,-54.75
209520000,-54.61
209906667,-54.53
210293333,-54.5
210680000,-54.59
211066667,-54.76
211453333,-54.97
211840000,-55.26
212226667,-55.65
212613333,-56.1
213000000,-56.45
213386667,-56.95
213773333,-57.46
214160000,-57.86
214546667,-58.25
214933333,-58.73
215320000,-59.06
215706667,-59.33
216093333,-59.73
216480000,-59.92
216866667,-60.06
217253333,-60.36
217640000,-60.51
218026667,-60.68
218413333,-60.74
218800000,-60.87
219186667,-60.97
219573333,-61.09
219960000,-61.18
220346667,-61.16
220733333,-61.1
221120000,-61.14
221506667,-61.22
221893333,-61.26
222280000,-61.31
222666667,-61.33
223053333,-61.14
223440000,-61.26
223826667,-61.31
224213333,-61.26
224600000,-61.2
224986667,-61.28
225373333,-61.24
225760000,-61.19
226146667,-61.16
226533333,-61.04
226920000,-61.04
227306667,-61.04
227693333,-61.09
228080000,-60.9
228466667,-60.92
228853333,-60.78
229240000,-60.76
229626667,-60.68
230013333,-60.67
230400000,-60.55
230786667,-60.55
231173333,-60.36
231560000,-60.32
231946667,-60.24
232333333,-60.11
232720000,-60.09
233106667,-59.96
233493333,-59.91
233880000,-59.79
234266667,-59.74
234653333,-59.58
235040000,-59.51
235426667,-59.32
235813333,-59.26
236200000,-59.18
236586667,-59.04
236973333,-58.98
237360000,-58.88
237746667,-58.79
238133333,-58.7
238520000,-58.66
238906667,-58.66
239293333,-58.58
239680000,-58.64
240066667,-58.65
240453333,-58.56
240840000,-58.66
241226667,-58.71
241613333,-58.79
242000000,-58.88
242386667,-59.07
242773333,-59.1
243160000,-59.31
243546667,-59.49
243933333,-59.62
244320000,-59.83
244706667,-60.04
245093333,-60.22
245480000,-60.53
245866667,-60.64
246253333,-60.9
246640000,-61.16
247026667,-61.31
247413333,-61.45
247800000,-61.72
248186667,-61.9
248573333,-62.09
248960000,-62.28
249346667,-62.32
249733333,-62.5
250120000,-62.68
250506667,-62.65
250893333,-62.88
251280000,-62.84
251666667,-62.95
252053333,-62.96
252440000,-62.98
252826667,-63.06
253213333,-63.08
253600000,-63.06
253986667,-63.11
254373333,-63.09
254760000,-63.05
255146667,-63.05
255533333,-63.01
255920000,-63.07
256306667,-63.06
256693333,-62.96
257080000,-63.03
257466667,-63.16
257853333,-63.1
258240000,-63.05
258626667,-63.19
259013333,-63.08
259400000,-63.02
259786667,-63.05
260173333,-63.14
260560000,-63.26
260946667,-63.33
261333333,-63.36
261720000,-63.4
262106667,-63.47
262493333,-63.65
262880000,-63.65
263266667,-63.84
263653333,-64.02
264040000,-64.19
264426667,-64.23
264813333,-64.54
265200000,-64.74
265586667,-64.87
265973333,-65.12
266360000,-65.28
266746667,-65.78
267133333,-66.15
267520000,-66.42
267906667,-66.73
268293333,-66.96
268680000,-67.63
269066667,-67.93
269453333,-68.23
269840000,-68.57
270226667,-68.8
270613333,-69.26
271000000,-69.69
271386667,-70.01
271773333,-70.26
272160000,-70.47
272546667,-70.85
272933333,-71
273320000,-71.14
273706667,-71.44
274093333,-71.36
274480000,-71.36
274866667,-71.48
275253333,-71.18
275640000,-71.37
276026667,-71.24
276413333,-71.15
276800000,-70.96
277186667,-70.91
277573333,-70.76
277960000,-70.63
278346667,-70.5
278733333,-70.32
279120000,-70.22
279506667,-69.9
279893333,-69.98
280280000,-69.6
280666667,-69.36
281053333,-69.22
281440000,-69.21
281826667,-68.89
282213333,-68.82
282600000,-68.45
282986667,-68.24
283373333,-68.1
283760000,-67.9
284146667,-67.81
284533333,-67.36
284920000,-67.39
285306667,-66.96
285693333,-66.96
286080000,-66.68
286466667,-66.55
286853333,-66.27
287240000,-65.98
287626667,-65.66
288013333,-65.62
288400000,-65.23
288786667,-64.9
289173333,-64.52
289560000,-64.28
289946667,-64.07
290333333,-63.68
290720000,-63.45
291106667,-62.95
291493333,-62.7
291880000,-62.33
292266667,-62.1
292653333,-61.63
293040000,-61.28
293426667,-60.9
293813333,-60.53
294200000,-60.04
294586667,-59.61
294973333,-59.23
295360000,-58.84
295746667,-58.42
296133333,-58.05
296520000,-57.62
296906667,-57.25
297293333,-56.93
297680000,-56.47
298066667,-56.1
298453333,-55.77
298840000,-55.33
299226667,-54.99
299613333,-54.55
300000000,-54.27
