Frequency(Hz),Amplitude
247026667,-61.83
247413333,-61.99
247800000,-62.32
248186667,-62.4
248573333,-62.59
248960000,-62.73
249346667,-62.8
249733333,-63.06
250120000,-63.1
250506667,-63.17
250893333,-63.3
251280000,-63.36
251666667,-63.34
252053333,-63.33
252440000,-63.42
252826667,-63.44
253213333,-63.45
253600000,-63.42
253986667,-63.44
254373333,-63.36
254760000,-63.36
255146667,-63.39
255533333,-63.34
255920000,-63.34
256306667,-63.34
256693333,-63.39
257080000,-63.3
257466667,-63.37
257853333,-63.29
258240000,-63.48
258626667,-63.38
259013333,-63.34
259400000,-63.29
259786667,-63.44
260173333,-63.54
260560000,-63.46
260946667,-63.59
261333333,-63.68
261720000,-63.72
262106667,-63.75
262493333,-63.97
262880000,-64
263266667,-64.1
263653333,-64.27
264040000,-64.47
264426667,-64.55
264813333,-64.81
265200000,-64.96
265586667,-65.17
265973333,-65.37
266360000,-65.92
266746667,-65.81
267133333,-66.34
267520000,-66.55
267906667,-66.8
268293333,-67.13
268680000,-67.41
269066667,-67.77
269453333,-67.92
269840000,-68.41
270226667,-68.55
270613333,-68.74
271000000,-68.87
271386667,-69.34
271773333,-69.25
272160000,-69.65
272546667,-69.64
272933333,-69.38
273320000,-69.61
273706667,-69.75
274093333,-69.46
274480000,-69.72
274866667,-69.75
275253333,-69.47
275640000,-69.44
276026667,-69.46
276413333,-69.18
276800000,-69.12
277186667,-69.13
277573333,-68.87
277960000,-68.75
278346667,-68.43
278733333,-68.41
279120000,-68.18
279506667,-67.94
279893333,-67.91
280280000,-67.49
280666667,-67.25
281053333,-67.12
281440000,-66.76
281826667,-66.54
282213333,-66.32
282600000,-66.34
282986667,-66
283373333,-65.74
283760000,-65.69
284146667,-65.23
284533333,-65.19
284920000,-65.04
285306667,-64.71
285693333,-64.36
286080000,-64.33
286466667,-64
286853333,-63.7
287240000,-63.32
287626667,-63.19
288013333,-62.85
288400000,-62.66
288786667,-62.3
289173333,-61.88
289560000,-61.69
289946667,-61.37
290333333,-61.02
290720000,-60.7
291106667,-60.47
291493333,-60.09
291880000,-59.72
292266667,-59.36
292653333,-59.06
293040000,-58.63
293426667,-58.31
293813333,-58.02
294200000,-57.53
294586667,-57.19
294973333,-56.85
295360000,-56.4
295746667,-56.06
296133333,-55.68
296520000,-55.34
296906667,-55.01
297293333,-54.72
297680000,-54.33
298066667,-53.98
298453333,-53.7
298840000,-53.42
299226667,-53.12
299613333,-52.84
300000000,-52.64
